"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 23 14:55:14 GMT 2025","Sun Mar 23 14:55:14 GMT 2025","569","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial","GET /collection by material",""
"passed","Sun Mar 23 14:55:17 GMT 2025","Sun Mar 23 14:55:18 GMT 2025","1221","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionDetailsTests","com.rijksmuseum.api.tests.CollectionDetailsTests","getCollectionDetailsByObjectNumber","GET /collection - get collection details by objectNumber",""
"failed","Sun Mar 23 14:55:10 GMT 2025","Sun Mar 23 14:55:11 GMT 2025","584","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByInvolvedMaker","GET /collection by involvedMaker",""
"passed","Sun Mar 23 14:55:13 GMT 2025","Sun Mar 23 14:55:14 GMT 2025","1352","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial","GET /collection by material",""
"passed","Sun Mar 23 14:55:11 GMT 2025","Sun Mar 23 14:55:11 GMT 2025","545","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByInvolvedMaker","GET /collection by involvedMaker",""
"failed","Sun Mar 23 14:55:17 GMT 2025","Sun Mar 23 14:55:17 GMT 2025","536","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionWithExceededPageSize","GET /collection - Verify that page * pageSize cannot exceed 10,000",""
"passed","Sun Mar 23 14:55:11 GMT 2025","Sun Mar 23 14:55:12 GMT 2025","608","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial","GET /collection by material",""
"passed","Sun Mar 23 14:55:15 GMT 2025","Sun Mar 23 14:55:17 GMT 2025","1553","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionWithDefaultParam","GET /collection with required key only",""
"failed","Sun Mar 23 14:55:14 GMT 2025","Sun Mar 23 14:55:15 GMT 2025","570","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByTwoParams","GET /collection by more than one parameter",""
"passed","Sun Mar 23 14:55:12 GMT 2025","Sun Mar 23 14:55:13 GMT 2025","740","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial","GET /collection by material",""
"passed","Sun Mar 23 14:55:08 GMT 2025","Sun Mar 23 14:55:10 GMT 2025","1857","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByInvolvedMaker","GET /collection by involvedMaker",""
