"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1829","GET /collection by material","Surefire suite","Sat Mar 22 18:46:59 GMT 2025","failed","Sat Mar 22 18:47:01 GMT 2025","com.rijksmuseum.api.tests.CollectionTests","Surefire test","com.rijksmuseum.api.tests.CollectionTests","getCollectionBy11111111"
"","1288","GET /collection by material","Surefire suite","Sat Mar 22 18:47:04 GMT 2025","passed","Sat Mar 22 18:47:05 GMT 2025","com.rijksmuseum.api.tests.CollectionTests","Surefire test","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial"
"","587","getCollectionDetailsByObjectNumber","Surefire suite","Sat Mar 22 18:47:08 GMT 2025","passed","Sat Mar 22 18:47:08 GMT 2025","com.rijksmuseum.api.tests.CollectionDetailsTests","Surefire test","com.rijksmuseum.api.tests.CollectionDetailsTests","getCollectionDetailsByObjectNumber"
"","1396","GET /collection with required key only","Surefire suite","Sat Mar 22 18:47:06 GMT 2025","passed","Sat Mar 22 18:47:07 GMT 2025","com.rijksmuseum.api.tests.CollectionTests","Surefire test","com.rijksmuseum.api.tests.CollectionTests","getCollectionWithDefaultParam"
"","699","GET /collection by material","Surefire suite","Sat Mar 22 18:47:03 GMT 2025","passed","Sat Mar 22 18:47:04 GMT 2025","com.rijksmuseum.api.tests.CollectionTests","Surefire test","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial"
"","503","GET /collection by material","Surefire suite","Sat Mar 22 18:47:03 GMT 2025","passed","Sat Mar 22 18:47:03 GMT 2025","com.rijksmuseum.api.tests.CollectionTests","Surefire test","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial"
"","534","GET /collection by material","Surefire suite","Sat Mar 22 18:47:05 GMT 2025","passed","Sat Mar 22 18:47:06 GMT 2025","com.rijksmuseum.api.tests.CollectionTests","Surefire test","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial"
"","536","GET /collection by involvedMaker","Surefire suite","Sat Mar 22 18:47:02 GMT 2025","failed","Sat Mar 22 18:47:02 GMT 2025","com.rijksmuseum.api.tests.CollectionTests","Surefire test","com.rijksmuseum.api.tests.CollectionTests","getCollectionByInvolvedMaker"
"","516","GET /collection by involvedMaker","Surefire suite","Sat Mar 22 18:47:02 GMT 2025","passed","Sat Mar 22 18:47:03 GMT 2025","com.rijksmuseum.api.tests.CollectionTests","Surefire test","com.rijksmuseum.api.tests.CollectionTests","getCollectionByInvolvedMaker"
"","656","GET /collection by involvedMaker","Surefire suite","Sat Mar 22 18:47:01 GMT 2025","passed","Sat Mar 22 18:47:02 GMT 2025","com.rijksmuseum.api.tests.CollectionTests","Surefire test","com.rijksmuseum.api.tests.CollectionTests","getCollectionByInvolvedMaker"
